S.No.,Category,State/UT,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,year
26,State,TRIPURA,70,62,47,38,59,54,50,55,50,50,63,57,655,2019
27,State,UTTAR PRADESH,3570,3160,3347,2995,3462,3345,2858,2761,2574,2829,3279,3357,37537,2019
28,State,UTTARAKHAND,121,117,104,97,128,137,123,108,85,101,101,130,1352,2019
29,State,WEST BENGAL,935,965,947,904,951,932,1142,1018,1015,1129,1106,1189,12233,2019
31,UT,A & NISLANDS,17,14,29,25,14,23,22,14,15,18,20,19,230,2019
32,UT,CHANDIGARH,30,21,22,22,25,26,25,36,14,27,29,27,304,2019
33,UT,D & N HAVELI,7,6,6,6,6,8,3,5,4,9,5,3,68,2019
34,UT,DAMAN & DIU,3,6,7,8,5,5,7,5,9,3,1,4,63,2019
35,UT,DELHI (UT),524,469,522,445,480,485,469,412,422,455,469,449,5601,2019
36,UT,LAKSHADWEEP,0,1,0,0,0,0,0,0,0,0,0,0,1,2019
37,UT,PUDUCHERRY,127,105,118,108,114,125,118,125,124,111,105,112,1392,2019
1,State,ANDHRA PRADESH,1888,1894,1522,485,1044,1338,1235,1410,1578,1749,1862,1919,17924,2020
2,State,ARUNACHAL PRADESH,19,20,17,4,9,4,10,4,6,16,23,27,159,2020
3,State,ASSAM,832,824,658,148,358,513,407,446,507,617,680,747,6737,2020
4,State,BIHAR,781,866,731,404,523,792,660,679,753,674,803,973,8639,2020
5,State,CHHATTISGARH,1382,1269,951,309,716,932,957,923,875,1027,1170,1163,11674,2020
6,State,GOA,341,317,196,83,156,156,129,144,156,183,242,272,2375,2020
7,State,GUJARAT,1536,1538,1231,347,667,956,959,972,1087,1284,1377,1453,13407,2020
8,State,HARYANA,894,939,774,215,511,742,803,850,830,995,974,979,9506,2020
9,State,HIMACHAL PRADESH,189,190,173,48,118,138,224,217,213,280,222,223,2235,2020
10,State,JHARKHAND,429,466,405,92,183,397,312,339,351,426,483,522,4405,2020
11,State,KARNATAKA,3774,3651,3026,804,2260,2660,2332,2797,2844,2996,3356,3678,34178,2020
12,State,KERALA,3991,3776,2881,447,1368,2022,1755,1740,2005,2312,2595,2907,27799,2020
13,State,MADHYA PRADESH,4521,4335,3505,852,2100,3534,3497,3465,3561,4131,4599,4296,42396,2020
14,State,MAHARASHTRA,2540,2389,1945,584,1201,1516,1407,1635,1720,2139,2355,2780,22211,2020
15,State,MANIPUR,56,64,53,12,28,23,33,20,30,27,43,43,432,2020
16,State,MEGHALAYA,28,22,16,3,12,14,11,8,16,16,25,34,205,2020
17,State,MIZORAM,7,6,3,2,2,1,4,2,3,2,5,10,47,2020
18,State,NAGALAND,3,0,5,1,3,3,1,1,1,0,5,4,27,2020
19,State,ODISHA,1056,956,801,265,583,757,725,736,844,934,971,1189,9817,2020
20,State,PUNJAB,491,507,415,146,318,357,437,401,443,554,599,505,5173,2020
21,State,RAJASTHAN,1945,2044,1646,369,941,1468,1667,1621,1671,1853,1982,1914,19121,2020
22,State,SIKKIM,17,12,11,1,7,5,6,6,4,14,12,13,108,2020
23,State,TAMIL NADU,4675,4407,3790,688,2373,2985,3323,4275,4577,4799,4828,4764,45484,2020
24,State,TELANGANA,2005,2078,1595,454,1279,1349,1418,1461,1535,1694,2030,2274,19172,2020
25,State,TRIPURA,58,56,50,8,24,35,28,30,39,40,40,58,466,2020
26,State,UTTAR PRADESH,3028,2938,2260,1039,1680,2092,2143,2366,2332,2612,3027,3136,28653,2020
27,State,UTTARAKHAND,118,108,88,12,49,65,74,79,105,109,108,135,1050,2020
28,State,WEST BENGAL,1214,1155,1028,257,408,740,830,844,952,1147,1152,1116,10843,2020
29,Union Territories,A & N ISLANDS,27,21,12,0,14,10,12,3,11,10,8,13,141,2020
30,Union Territories,CHANDIGARH,17,17,11,4,9,7,16,17,12,18,14,15,157,2020
31,Union Territories,D & N HAVELI AND DAMAN & DIU,14,9,3,2,5,6,9,9,10,11,11,9,98,2020
32,Union Territories,DELHI (UT),492,407,390,99,171,261,356,371,382,472,380,406,4187,2020
33,Union Territories,JAMMU & KASHMIR,361,440,356,147,321,386,408,465,468,536,520,453,4861,2020
34,Union Territories,LADAKH,5,5,7,2,6,11,20,15,16,30,20,2,139,2020
35,Union Territories,LAKSHADWEEP,0,0,0,0,0,0,0,1,0,0,0,0,1,2020
36,Union Territories,PUDUCHERRY,132,133,98,17,35,63,66,65,92,86,86,96,969,2020
1,State,ANDHRA PRADESH,2120,1845,1906,1703,1233,1594,1792,1968,1815,1924,1649,2007,21556,2021
2,State,ARUNACHAL PRADESH,24,29,19,24,14,15,14,20,25,27,19,31,261,2021
3,State,ASSAM,687,757,709,648,488,393,426,520,526,605,665,645,7069,2021
4,State,BIHAR,848,888,839,835,795,811,724,689,732,752,817,823,9553,2021
5,State,CHHATTISGARH,1493,1319,1246,589,523,929,1052,1090,1005,1057,1068,1024,12395,2021
6,State,GOA,301,235,285,210,131,169,199,212,227,252,287,342,2850,2021
7,State,GUJARAT,1459,1308,1446,1005,990,1232,1198,1271,1159,1343,1379,1410,15200,2021
8,State,HARYANA,810,830,949,876,515,787,812,779,802,1018,949,922,10049,2021
9,State,HIMACHAL PRADESH,209,175,197,205,107,173,213,221,196,254,240,218,2408,2021
10,State,JHARKHAND,430,445,383,352,341,371,365,394,365,415,419,448,4728,2021
11,State,KARNATAKA,3602,3177,3512,2898,1537,2072,2584,2859,2875,2966,3122,3443,34647,2021
12,State,KERALA,3562,3324,3431,3095,1041,1502,2097,2421,2616,2894,3104,3672,32759,2021
13,State,MADHYA PRADESH,5145,4380,4393,2971,2639,4046,3998,3758,3646,4387,4747,4109,48219,2021
14,State,MAHARASHTRA,2650,2505,2479,1636,1683,2037,2081,2051,2011,2320,2429,2716,26598,2021
15,State,MANIPUR,33,30,51,36,9,18,16,29,29,25,43,47,366,2021
16,State,MEGHALAYA,19,21,27,22,19,17,12,16,25,23,21,22,244,2021
17,State,MIZORAM,6,5,7,8,3,8,3,6,2,4,5,7,64,2021
18,State,NAGALAND,3,4,5,4,1,1,1,3,2,0,1,0,25,2021
19,State,ODISHA,1100,1030,1098,864,655,824,838,804,830,893,950,1097,10983,2021
20,State,PUNJAB,454,479,514,497,404,438,503,527,513,603,608,557,6097,2021
21,State,RAJASTHAN,2143,1907,1986,1683,993,1400,1686,1784,1701,1875,2021,1775,20954,2021
22,State,SIKKIM,9,17,11,16,11,5,9,11,7,10,11,5,122,2021
23,State,TAMIL NADU,5322,5300,5543,4628,2384,3291,4592,4977,4941,4899,4742,5063,55682,2021
24,State,TELANGANA,2068,1821,1849,1578,1346,1605,1662,1869,1662,1948,1874,2033,21315,2021
25,State,TRIPURA,46,35,60,47,27,25,30,41,37,36,39,55,478,2021
26,State,UTTAR PRADESH,3524,2892,2930,2357,2466,2606,2742,2657,2580,2640,3024,3293,33711,2021
27,State,UTTARAKHAND,143,129,149,92,60,84,117,102,133,111,156,129,1405,2021
28,State,WEST BENGAL,1142,1022,1044,878,722,808,937,968,924,987,1016,1053,11501,2021
30,UT,ANDAMAN AND NICOBAR ISLANDS,14,9,13,11,6,3,13,10,10,3,11,14,117,2021
31,UT,CHANDIGARH,20,16,23,15,11,13,19,18,19,16,15,23,208,2021
32,UT,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,14,15,16,7,7,6,9,9,16,11,7,23,140,2021
33,UT,DELHI,395,374,481,307,243,368,365,432,405,423,442,485,4720,2021
34,UT,JAMMU AND KASHMIR,340,380,475,444,375,462,518,495,504,482,512,415,5402,2021
35,UT,LADAKH,9,9,16,10,20,30,41,29,23,22,11,17,237,2021
36,UT,LAKSHADWEEP,0,0,1,0,0,1,1,1,0,0,0,0,4,2021
37,UT,PUDUCHERRY,91,97,103,90,37,77,78,84,102,113,72,105,1049,2021
1,State,ANDHRA PRADESH,1796,1751,1894,1777,2161,1911,1640,1929,1539,1534,1525,1613,21070,2022
2,State,ARUNACHAL PRADESH,23,20,20,12,18,13,27,18,14,17,18,15,215,2022
3,State,ASSAM,637,564,610,558,571,488,509,586,574,586,632,713,7028,2022
4,State,BIHAR,749,760,868,953,1299,1006,902,786,692,857,991,938,10801,2022
5,State,CHHATTISGARH,1241,1194,1069,1100,1205,1133,1032,1012,880,1025,1156,1044,13091,2022
6,State,GOA,260,251,275,242,324,239,238,182,234,251,232,284,3012,2022
7,State,GUJARAT,1356,1365,1358,1386,1530,1343,1065,1141,1160,1406,1259,1408,15777,2022
8,State,HARYANA,739,811,1020,950,953,804,886,857,862,900,867,1005,10654,2022
9,State,HIMACHAL PRADESH,163,160,195,219,207,231,186,217,247,235,200,224,2484,2022
10,State,JHARKHAND,393,417,433,430,492,423,454,391,379,429,444,490,5175,2022
11,State,KARNATAKA,3225,3318,3506,3313,3635,3308,3006,3118,2962,3358,3372,3644,39765,2022
12,State,KERALA,3862,3350,3781,3626,3673,3668,3283,3318,3542,3628,3817,4044,43592,2022
13,State,MADHYA PRADESH,4621,4369,4636,4559,5179,4282,3921,3951,3636,4308,4527,3976,51965,2022
14,State,MAHARASHTRA,2581,2551,2665,2577,2956,2667,2230,2191,2103,2443,2826,2756,30546,2022
15,State,MANIPUR,33,37,56,32,33,44,49,33,40,57,50,44,508,2022
16,State,MEGHALAYA,21,27,21,22,26,20,16,17,20,15,17,24,246,2022
17,State,MIZORAM,10,9,4,6,7,6,4,3,6,4,4,8,71,2022
18,State,NAGALAND,4,2,3,4,1,1,1,2,1,4,0,1,24,2022
19,State,ODISHA,943,827,1065,929,1112,1025,894,867,840,896,1099,1166,11663,2022
20,State,PUNJAB,432,421,548,522,488,484,485,531,471,578,565,597,6122,2022
21,State,RAJASTHAN,1958,1957,2012,1980,2217,1978,1847,1733,1900,2102,2156,1780,23620,2022
22,State,SIKKIM,14,16,21,19,20,22,12,22,8,11,18,16,199,2022
23,State,TAMIL NADU,4972,5115,5771,5305,5546,5704,5518,5560,5321,5628,4515,5150,64105,2022
24,State,TELANGANA,1754,1894,1819,1678,2009,1908,1657,1657,1525,1737,1859,2122,21619,2022
25,State,TRIPURA,60,42,55,49,41,42,53,52,48,48,46,39,575,2022
26,State,UTTAR PRADESH,3486,2896,3058,2945,3228,3006,3006,2789,2568,2817,3389,3687,36875,2022
27,State,UTTARAKHAND,110,101,148,158,140,163,140,143,116,145,150,160,1674,2022
28,State,WEST BENGAL,868,816,904,858,895,882,884,839,884,963,913,929,10635,2022
